n_pcs,resolution,silhouette_score
14,0.1,0.05902619
14,0.30000000000000004,-0.03901541
14,0.5,-0.05387833
14,0.7000000000000001,-0.05280699
14,0.9,-0.07322682
15,0.1,0.050130703
15,0.30000000000000004,-0.040117133
15,0.5,-0.05149353
15,0.7000000000000001,-0.08242573
15,0.9,-0.07953955
16,0.1,0.047415186
16,0.30000000000000004,-0.029169519
16,0.5,-0.044268254
16,0.7000000000000001,-0.051927906
16,0.9,-0.0564549
17,0.1,0.044336677
17,0.30000000000000004,-0.037241608
17,0.5,-0.10305424
17,0.7000000000000001,-0.102050446
17,0.9,-0.06781958
18,0.1,0.04681057
18,0.30000000000000004,-0.03959265
18,0.5,-0.06600724
18,0.7000000000000001,-0.06172831
18,0.9,-0.06862661
